draw_size,match_num,winner_ht,winner_age,loser_ht,loser_age,winner_rank,winner_rank_points,loser_rank,loser_rank_points,target,surface_Carpet,surface_Clay,surface_Grass,surface_Hard,winner_hand_L,winner_hand_R,winner_hand_U,tourney_level_A,tourney_level_D,tourney_level_F,tourney_level_G,tourney_level_M,loser_hand_L,loser_hand_R,loser_hand_U
32,283,183.0,33.2,188.0,32.3,141.0,384.0,92.0,622.0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0
32,286,185.0,32.6,198.0,24.8,95.0,705.0,3.0,7515.0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0
128,219,190.0,29.0,206.0,31.0,2.0,8435.0,17.0,1965.0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0
32,283,180.0,33.5,183.0,23.5,63.0,780.0,109.0,527.0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0
128,114,178.0,22.3,185.0,29.6,88.0,873.0,100.0,811.0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0
32,274,172.0,26.7,193.0,20.5,56.0,905.0,12.0,2805.0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0
32,289,185.0,29.4,193.0,28.2,50.0,966.0,86.0,677.0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0
28,25,198.0,27.4,188.0,31.3,42.0,1040.0,30.0,1260.0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0
28,16,203.0,25.7,188.0,24.2,35.0,1065.0,88.0,614.0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0
64,293,188.0,24.7,198.0,25.2,8.0,3575.0,32.0,1252.0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0
32,298,198.0,22.4,198.0,22.6,26.0,1640.0,21.0,1797.0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0
28,1,196.0,25.2,183.0,24.7,111.0,508.0,109.0,514.0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0
128,188,183.0,32.3,183.0,21.0,11.0,2540.0,47.0,1028.0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0
128,30,183.0,29.0,196.0,29.5,119.0,515.0,79.0,668.0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0
28,10,193.0,21.2,190.0,27.7,52.0,910.0,36.0,1155.0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0
96,13,178.0,26.9,185.0,20.9,86.0,617.0,427.0,85.0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0
28,20,180.0,30.1,183.0,27.1,84.0,630.0,12.0,2050.0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0
128,81,178.0,23.0,173.0,32.1,80.0,635.0,101.0,519.0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0
4,2,185.0,19.4,190.0,31.4,34.0,1270.0,44.0,1045.0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0
32,271,188.0,24.8,178.0,27.8,100.0,690.0,312.0,152.0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0
32,277,193.0,23.7,185.0,31.2,42.0,1560.0,154.0,494.0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0
32,300,185.0,29.0,188.0,20.2,68.0,805.0,64.0,823.0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0
56,5,198.0,25.6,188.0,26.4,26.0,1410.0,36.0,1118.0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0
128,184,193.0,20.8,183.0,22.8,19.0,2468.0,98.0,796.0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0
28,2,190.0,25.8,180.0,22.5,156.0,337.0,84.0,611.0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0
64,284,206.0,34.4,185.0,25.6,17.0,1895.0,22.0,1600.0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0
64,290,193.0,29.8,180.0,25.6,14.0,2440.0,11.0,2715.0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0
32,296,198.0,25.9,183.0,27.8,26.0,1566.0,110.0,611.0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0
56,34,190.0,22.9,190.0,31.2,55.0,850.0,31.0,1290.0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0
32,299,180.0,29.1,175.0,32.3,58.0,791.0,25.0,1420.0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0
28,25,190.0,27.9,183.0,27.0,3.0,6060.0,16.0,1985.0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0
128,4,193.0,27.3,183.0,21.6,32.0,1245.0,110.0,504.0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0
128,153,190.0,28.7,178.0,31.3,123.0,484.0,203.0,264.0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0
128,132,185.0,22.9,183.0,27.2,10.0,3205.0,66.0,760.0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0
28,24,183.0,26.8,185.0,26.9,10.0,2605.0,106.0,511.0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0
28,6,185.0,24.3,188.0,24.5,28.0,1385.0,116.0,487.0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0
32,271,190.0,33.8,185.0,24.8,101.0,533.0,104.0,529.0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0
32,287,180.0,29.3,185.0,28.7,77.0,933.0,82.0,888.0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0
4,2,187.12269085243713,18.4,186.4135888205448,23.6,910.0,13.0,1240.0,4.0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0
56,37,196.0,25.0,180.0,28.4,7.0,3715.0,43.0,1075.0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0
28,27,180.0,32.8,185.0,32.3,60.0,780.0,6.0,4205.0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0
128,20,198.0,22.9,183.0,19.3,28.0,1375.0,66.0,715.0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0
32,296,188.0,26.9,183.0,30.8,47.0,959.0,18.0,1955.0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0
32,279,175.0,27.2,183.0,22.8,177.0,310.0,296.0,167.0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0
32,279,180.0,27.8,188.0,30.8,149.0,372.0,82.0,624.0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0
64,248,198.0,25.9,185.0,20.4,24.0,1620.0,227.0,233.0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0
4,2,188.0,23.6,185.0,33.1,571.0,57.0,735.0,32.0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0
128,91,193.0,22.8,180.0,34.5,24.0,1465.0,355.0,130.0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0
8,509,178.0,24.8,190.0,27.4,5.0,4625.0,6.0,4475.0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0
32,296,183.0,25.1,183.0,20.3,62.0,837.0,24.0,1410.0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0
32,12,180.0,31.7,188.0,22.5,17.0,1960.0,65.0,733.0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0
64,258,183.0,29.7,183.0,33.5,55.0,1076.0,20.0,2260.0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0
64,275,185.0,29.4,191.0,26.1,42.0,1565.0,26.0,2208.0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0
4,1,178.0,27.4,183.0,27.0,90.0,612.0,55.0,825.0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0
32,273,185.0,27.5,196.0,30.4,105.0,541.0,25.0,1528.0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0
64,291,185.0,35.9,180.0,31.4,4.0,6435.0,60.0,913.0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0
32,273,185.0,31.0,193.0,30.7,30.0,1335.0,16.0,2545.0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0
32,274,180.0,27.1,190.0,36.0,7.0,3400.0,101.0,547.0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0
128,141,188.0,30.4,183.0,32.9,315.0,159.0,84.0,689.0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0
32,7,175.0,24.7,194.0,26.9,90.0,573.0,73.0,648.0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0
32,291,188.0,25.6,173.0,36.5,24.0,1495.0,94.0,604.0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0
32,275,198.0,22.9,188.0,29.3,68.0,758.0,33.0,1175.0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0
128,2,185.0,23.0,183.0,28.3,83.0,635.0,51.0,843.0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0
96,73,188.0,30.2,185.0,27.7,33.0,1190.0,9.0,2950.0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0
128,293,185.0,36.5,188.0,31.0,1.0,10060.0,100.0,580.0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0
4,2,188.0,25.1,188.0,29.6,133.0,593.0,515.0,68.0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0
32,300,185.0,28.1,196.0,28.3,95.0,544.0,41.0,1085.0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0
64,283,185.0,28.8,191.0,23.0,53.0,973.0,140.0,402.0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0
128,152,208.0,37.8,188.0,31.7,21.0,1795.0,68.0,725.0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0
128,124,178.0,27.5,185.0,24.7,9.0,3830.0,102.0,540.0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0
64,260,183.0,21.1,183.0,31.3,42.0,1283.0,38.0,1396.0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0
28,5,190.0,23.0,188.0,29.6,159.0,304.0,238.0,199.0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0
32,282,188.0,24.7,188.0,32.4,50.0,919.0,51.0,900.0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0
96,50,188.0,25.4,190.0,32.5,51.0,917.0,32.0,1210.0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0
32,288,175.0,29.7,188.0,28.9,37.0,1224.0,78.0,715.0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0
32,290,183.0,28.0,193.0,28.7,55.0,880.0,134.0,418.0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0
32,10,183.0,21.5,196.0,26.1,146.0,378.0,99.0,547.0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0
64,290,188.0,30.8,185.0,29.2,51.0,974.0,68.0,786.0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0
32,283,193.0,31.2,183.0,27.5,66.0,990.0,151.0,493.0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0
32,291,191.0,26.1,183.0,32.0,27.0,2042.0,43.0,1521.0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0
4,5,173.0,21.7,188.0,28.8,714.0,32.0,436.0,91.0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0
64,278,183.0,30.0,208.0,39.1,15.0,2175.0,75.0,715.0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0
128,112,185.0,27.2,183.0,28.6,2.0,8860.0,38.0,1125.0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0
48,24,180.0,28.3,190.0,25.1,9.0,3100.0,75.0,642.0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0
32,23,185.0,21.4,185.0,31.3,85.0,568.0,38.0,1065.0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0
32,272,190.0,29.5,185.0,29.9,180.0,298.0,117.0,478.0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0
64,264,183.0,33.8,193.0,32.0,74.0,711.0,56.0,826.0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0
28,1,183.0,26.3,193.0,27.5,60.0,752.0,379.0,106.0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0
4,1,185.0,30.3,175.0,22.8,67.0,719.0,325.0,131.0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0
32,290,180.0,31.7,183.0,27.2,145.0,373.0,129.0,405.0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0
56,18,183.0,20.0,193.0,26.3,61.0,757.0,82.0,630.0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0
32,19,178.0,30.6,185.0,30.0,49.0,875.0,733.0,20.0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0
32,295,188.0,27.8,185.0,19.8,44.0,983.0,25.0,1485.0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0
128,202,188.0,22.1,185.0,26.8,12.0,2435.0,93.0,620.0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0
32,20,190.0,24.3,190.0,25.6,63.0,771.0,38.0,1105.0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0
56,45,190.0,27.5,190.0,31.6,28.0,1300.0,42.0,1035.0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0
128,135,178.0,33.2,185.0,24.8,33.0,1325.0,92.0,630.0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0
32,284,188.0,36.9,190.0,33.4,61.0,945.0,115.0,547.0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0
28,8,180.0,25.4,188.0,20.5,103.0,520.0,1333.0,2.0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0
128,155,206.0,30.7,203.0,25.1,11.0,2495.0,56.0,795.0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0
32,30,175.0,28.5,193.0,31.5,11.0,3135.0,17.0,2120.0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0
32,284,190.0,29.0,180.0,28.3,64.0,765.0,170.0,318.0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0
56,32,188.0,23.2,183.0,25.0,8.0,3270.0,50.0,899.0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0
32,277,175.0,28.5,180.0,28.0,116.0,507.0,22.0,1785.0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0
96,75,178.0,24.2,188.0,22.8,21.0,1715.0,16.0,2130.0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0
96,75,198.0,25.4,196.0,22.2,20.0,1760.0,16.0,2095.0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0
32,286,188.0,38.4,180.0,36.3,118.0,554.0,107.0,619.0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0
28,21,193.0,20.0,190.0,28.0,46.0,980.0,101.0,532.0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0
32,286,183.0,30.2,183.0,21.2,17.0,1940.0,89.0,654.0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0
128,15,188.0,22.6,188.0,26.7,92.0,574.0,296.0,153.0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0
128,111,188.0,29.3,188.0,19.8,48.0,1344.0,23.0,2320.0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0
32,13,183.0,29.0,183.0,24.6,16.0,2125.0,233.0,203.0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0
32,20,185.0,25.6,178.0,28.8,16.0,1855.0,33.0,1123.0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0
32,277,185.0,16.7,188.0,32.0,406.0,82.0,41.0,1130.0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0
32,27,178.0,28.1,181.0,26.0,32.0,1115.0,67.0,731.0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0
96,41,175.0,30.9,185.0,30.2,5.0,6630.0,71.0,678.0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0
128,300,188.0,26.1,185.0,29.6,26.0,2015.0,36.0,1556.0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0
32,16,185.0,30.5,190.0,31.7,3.0,8235.0,40.0,1020.0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0
128,37,178.0,31.2,185.0,33.0,24.0,1415.0,93.0,570.0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0
128,46,188.0,24.5,185.0,28.5,50.0,868.0,52.0,853.0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0
56,7,183.0,28.6,180.0,26.8,108.0,456.0,109.0,450.0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0
28,18,190.0,28.9,185.0,32.7,25.0,1500.0,107.0,527.0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0
128,23,183.0,28.8,193.0,24.1,85.0,642.0,46.0,965.0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0
128,214,183.0,34.8,198.0,23.9,15.0,2045.0,4.0,5960.0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0
4,2,185.0,33.4,170.0,27.2,1.0,9985.0,14.0,2125.0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0
48,14,188.0,25.2,193.0,22.9,64.0,730.0,121.0,458.0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0
56,35,175.0,31.4,193.0,19.5,69.0,690.0,35.0,1145.0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0
28,8,180.0,29.5,190.0,23.6,89.0,592.0,100.0,536.0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0
32,288,183.0,35.1,188.0,29.1,46.0,972.0,564.0,57.0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0
56,17,185.0,26.1,185.0,29.0,27.0,1425.0,60.0,750.0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0
32,288,185.0,25.7,188.0,28.2,71.0,726.0,83.0,653.0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0
128,255,196.0,23.7,188.0,25.8,44.0,1385.0,57.0,1131.0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0
28,7,180.0,29.7,183.0,27.5,38.0,1100.0,221.0,226.0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0
32,280,183.0,33.9,190.0,38.2,70.0,858.0,141.0,466.0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0
64,241,198.0,33.8,188.0,25.7,16.0,2085.0,157.0,350.0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0
32,283,183.0,22.8,180.0,35.5,99.0,810.0,94.0,832.0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0
128,10,185.0,28.4,190.0,30.5,106.0,534.0,60.0,744.0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0
96,59,185.0,20.4,183.0,29.1,101.0,567.0,23.0,1565.0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0
28,24,185.0,31.8,180.0,29.7,69.0,724.0,58.0,850.0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0
28,10,173.0,33.7,183.0,22.5,104.0,531.0,40.0,1000.0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0
64,299,185.0,19.5,193.0,22.2,18.0,1991.0,8.0,3725.0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0
32,281,198.0,24.3,183.0,28.7,17.0,2200.0,93.0,701.0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0
32,297,190.0,29.0,188.0,21.4,2.0,8915.0,85.0,676.0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0
32,293,183.0,31.4,196.0,31.1,3.0,6260.0,85.0,655.0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0
56,14,185.0,32.6,180.0,33.4,47.0,935.0,42.0,1005.0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0
32,277,185.0,31.0,188.0,19.4,27.0,1515.0,63.0,756.0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0
32,297,193.0,21.7,178.0,32.1,28.0,1450.0,9.0,2625.0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0
32,272,198.0,23.8,190.0,31.0,59.0,828.0,70.0,711.0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0
128,33,196.0,25.3,188.0,27.6,6.0,3955.0,237.0,200.0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0
28,4,190.0,24.7,178.0,31.4,68.0,727.0,296.0,159.0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0
